id;title;author_name;isbn;archived;shareable
1;solemnly yippee opportunity;since;intelligent;false;true
2;likewise pay that;ick disqualify;sojourn music-making;false;true
3;chart;quickly quarrelsomely;because;true;true
4;as gradient retina;unimpressively;greedily aboard;true;true
5;afore consequently from;cull;canalise after;false;false
6;huge;glom;winery;false;true
7;until excitedly duh;rest rat very;compensate;true;false
8;wax;hopelessly renounce;modest;false;true
9;wide unless wisteria;sophisticated gosh lard;circumnavigate on across;false;false
10;tourist;yet as bah;before yawn;false;true
